velocity,Distance,Speed,SR,SplitD
4.06,10.28361111,3.954782206,,0.05638888889
4.05,10.33986111,3.953581472,40.76190476,0.05625
4.05,10.39611111,3.956276906,,0.05625
4.04,10.45222222,3.961611602,,0.05611111111
4.01,10.50791667,3.968275413,,0.05569444444
3.98,10.56319444,3.974784213,,0.05527777778
4,10.61875,3.980304328,,0.05555555556
4.03,10.67472222,3.985246552,,0.05597222222
4.08,10.73138889,3.990757365,,0.05666666667
4.12,10.78861111,3.998038454,,0.05722222222
4.13,10.84597222,4.007653191,,0.05736111111
4.12,10.90319444,4.019121111,,0.05722222222
4.09,10.96,4.031197192,,0.05680555556
4.06,11.01638889,4.042381435,,0.05638888889
4.06,11.07277778,4.051673344,,0.05638888889
4.05,11.12902778,4.058846423,,0.05625
4.01,11.18472222,4.063626278,,0.05569444444
3.97,11.23986111,4.065258312,,0.05513888889
3.99,11.29527778,4.063564167,,0.05541666667
4,11.35083333,4.059530541,,0.05555555556
3.96,11.40583333,4.053890815,,0.055
3.92,11.46027778,4.04625336,,0.05444444444
3.95,11.51513889,4.036579093,,0.05486111111
3.97,11.57027778,4.026093909,,0.05513888889
3.95,11.62513889,4.015836554,,0.05486111111
3.92,11.67958333,4.005668379,,0.05444444444
3.93,11.73416667,3.995300555,,0.05458333333
3.93,11.78875,3.985069099,,0.05458333333
3.92,11.84319444,3.975311649,,0.05444444444
3.91,11.8975,3.965991358,,0.05430555556
3.92,11.95194444,3.957155592,,0.05444444444
3.92,12.00638889,3.949094798,,0.05444444444
3.91,12.06069444,3.941907553,,0.05430555556
3.89,12.11472222,3.93527253,,0.05402777778
3.88,12.16861111,3.928747212,,0.05388888889
3.87,12.22236111,3.922086945,,0.05375
3.85,12.27583333,3.915113343,,0.05347222222
3.82,12.32888889,3.907431577,,0.05305555556
3.77,12.38125,3.898317297,,0.05236111111
3.73,12.43305556,3.886916466,,0.05180555556
3.74,12.485,3.873126644,,0.05194444444
3.77,12.53736111,3.858139056,,0.05236111111
3.76,12.58958333,3.843343967,,0.05222222222
3.76,12.64180556,3.82932165,,0.05222222222
3.76,12.69402778,3.816297036,,0.05222222222
3.76,12.74625,3.804493237,,0.05222222222
3.75,12.79833333,3.793942176,,0.05208333333
3.74,12.85027778,3.784440529,,0.05194444444
3.72,12.90194444,3.775616114,,0.05166666667
3.7,12.95333333,3.766983769,,0.05138888889
3.69,13.00458333,3.758173044,,0.05125
